i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
韩国,119,恐怖直播,8.7,2013,金秉祐,"剧情,悬疑,犯罪",97,韩国,199374,21360417,https://movie.douban.com/subject/21360417/,http://www.imdb.com/title/tt2990738,249,122,
英国,120,真爱至上,8.5,2003,理查德·柯蒂斯,"剧情,喜剧,爱情",135,英国 / 美国 / 法国,294922,1292401,https://movie.douban.com/subject/1292401/,http://www.imdb.com/title/tt0314331,76,123,
美国,121,雨人,8.6,1988,巴瑞·莱文森,剧情,133,美国,200586,1291870,https://movie.douban.com/subject/1291870/,http://www.imdb.com/title/tt0095953,135,124,
英国,122,贫民窟的百万富翁,8.5,2008,丹尼·博伊尔,"剧情,爱情",120,英国 / 美国,379770,2209573,https://movie.douban.com/subject/2209573/,http://www.imdb.com/title/tt1010048,159,125,
法国,123,虎口脱险,8.9,1966,杰拉尔·乌里,"喜剧,战争",132,法国 / 英国,102242,1296909,https://movie.douban.com/subject/1296909/,http://www.imdb.com/title/tt0060474,95,126,
香港,124,东邪西毒,8.6,1994,王家卫,"剧情,动作,爱情,武侠,古装",100,香港 / 台湾,236393,1292328,https://movie.douban.com/subject/1292328/,http://www.imdb.com/title/tt0109688,227,127,
美国,125,记忆碎片,8.5,2000,克里斯托弗·诺兰,"剧情,悬疑,惊悚,犯罪",113,美国,262236,1304447,https://movie.douban.com/subject/1304447/,http://www.imdb.com/title/tt0209144,183,128,
日本,126,红辣椒,8.8,2006,今敏,"科幻,动画,悬疑,惊悚",90,日本,119566,1865703,https://movie.douban.com/subject/1865703/,http://www.imdb.com/title/tt0851578,151,130,
美国,127,疯狂原始人,8.7,2013,柯克·德·米科,"喜剧,动画,冒险",98,美国,351962,1907966,https://movie.douban.com/subject/1907966/,http://www.imdb.com/title/tt0481499,191,131,
美国,128,怪兽电力公司,8.6,2001,彼特·道格特,"喜剧,动画,儿童,奇幻",92,美国,224285,1291579,https://movie.douban.com/subject/1291579/,http://www.imdb.com/title/tt0198781,23,132,
英国,129,卢旺达饭店,8.8,2004,特瑞·乔治,"剧情,历史,战争",121,英国 / 南非 / 意大利 / 美国,111523,1291822,https://movie.douban.com/subject/1291822/,http://www.imdb.com/title/tt0395169,43,133,
美国,130,黑天鹅,8.5,2010,达伦·阿伦诺夫斯基,"剧情,惊悚",108,美国,394903,1978709,https://movie.douban.com/subject/1978709/,http://www.imdb.com/title/tt0947798,106,134,
日本,131,穿越时空的少女,8.6,2006,细田守,"剧情,爱情,科幻,动画",98,日本,175595,1937946,https://movie.douban.com/subject/1937946/,http://www.imdb.com/title/tt0808506,121,135,
美国,132,魂断蓝桥,8.8,1940,茂文·勒鲁瓦,"剧情,爱情,战争",108,美国,123553,1293964,https://movie.douban.com/subject/1293964/,http://www.imdb.com/title/tt0033238,53,136,
英国,133,猜火车,8.5,1996,丹尼·博伊尔,"剧情,犯罪",94,英国,236519,1292528,https://movie.douban.com/subject/1292528/,http://www.imdb.com/title/tt0117951,39,137,
美国,134,恋恋笔记本,8.5,2004,尼克·卡索维茨,"剧情,爱情",123,美国,264116,1309163,https://movie.douban.com/subject/1309163/,http://www.imdb.com/title/tt0332280,237,138,
台湾,135,喜宴,8.8,1993,李安,"剧情,喜剧,爱情,同性,家庭",106,台湾 / 美国,128334,1303037,https://movie.douban.com/subject/1303037/,http://www.imdb.com/title/tt0107156,105,139,
日本,136,小森林,8.9,2014,森淳一,剧情,111,日本,114708,25814705,https://movie.douban.com/subject/25814705/,http://www.imdb.com/title/tt3474600,85,140,
香港,137,英雄本色,8.7,1986,吴宇森,"动作,犯罪",95,香港,138777,1297574,https://movie.douban.com/subject/1297574/,http://www.imdb.com/title/tt0092263,98,141,
