i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
意大利,2892,罗马，不设防的城市,7.8,1945,罗伯托·罗西里尼,"剧情,战争",103,意大利,3650,1296669,https://movie.douban.com/subject/1296669/,http://www.imdb.com/title/tt0038890,2892,,
德国,10736,罗马大帝,7.6,2003,罗杰·扬,"剧情,爱情,历史",200,德国 / 意大利 / 西班牙 / 奥地利 / 法国 / 英国,341,1433593,https://movie.douban.com/subject/1433593/,http://www.imdb.com/title/tt0340529,10736,,
美国,11292,罗马的猫,8.6,2007,Michael W.Hunt,纪录片,,美国,59,4004934,https://movie.douban.com/subject/4004934/,,11292,,
美国,2169,罗马帝国沦亡录,7.2,1964,安东尼·曼,"剧情,历史",188,美国,482,1302394,https://movie.douban.com/subject/1302394/,http://www.imdb.com/title/tt0058085,2169,,
英国,22086,罗马斗兽场,7.2,2003,Tilman Remme,剧情,60,英国,51,6872235,https://movie.douban.com/subject/6872235/,http://www.imdb.com/title/tt1209315,22086,,
意大利,4868,罗马风情画,8.3,1972,费德里科·费里尼,"剧情,喜剧",128,意大利 / 法国,2002,1302815,https://movie.douban.com/subject/1302815/,http://www.imdb.com/title/tt0069191,4868,,
美国,216,罗马假日,8.9,1953,威廉·惠勒,"剧情,喜剧,爱情",118,美国,376106,1293839,https://movie.douban.com/subject/1293839/,http://www.imdb.com/title/tt0046250,216,31,
意大利,7066,罗马妈妈,8.2,1962,皮埃尔·保罗·帕索里尼,剧情,106,意大利,1264,1293305,https://movie.douban.com/subject/1293305/,http://www.imdb.com/title/tt0056215,7066,,
英国,10070,罗马之春,7.9,1961,何塞·昆特罗,"剧情,爱情",103,英国 / 美国,311,1301066,https://movie.douban.com/subject/1301066/,http://www.imdb.com/title/tt0055382,10070,,
美国,8613,罗马之恋,7.3,1954,让·尼古拉斯科,"剧情,爱情",102,美国,268,1297896,https://movie.douban.com/subject/1297896/,http://www.imdb.com/title/tt0047580,8613,,
美国,13621,罗曼·波兰斯基：被通缉的与被渴望的,7.9,2008,玛琳娜·泽诺维奇,"纪录片,犯罪",98,美国 / 英国,594,2408796,https://movie.douban.com/subject/2408796/,http://www.imdb.com/title/tt1157705,13621,,
美国,10267,罗曼史,7.5,1930,克拉伦斯·布朗,"剧情,爱情",76,美国,36,1982914,https://movie.douban.com/subject/1982914/,http://www.imdb.com/title/tt0021310,10267,,
德国,22656,罗密,7,2009,Torsten C. Fischer,"剧情,传记",,德国 / 法国,187,3069330,https://movie.douban.com/subject/3069330/,http://www.imdb.com/title/tt1210101,22656,,
Czechoslovakia,23034,罗密欧，朱丽叶与黑暗,7.9,1960,Jirí Weiss,"剧情,战争",92,Czechoslovakia,103,2006218,https://movie.douban.com/subject/2006218/,http://www.imdb.com/title/tt0054250,23034,,
日本,20102,罗密欧的蓝天,9.3,1995,楠葉宏三,动画,,日本,197,2237698,https://movie.douban.com/subject/2237698/,http://www.imdb.com/title/tt0168371,20102,,
意大利,19533,罗密欧与朱丽叶,7.1,1954,雷纳托·卡斯特拉尼,"剧情,爱情",138,意大利 / 英国,435,1296112,https://movie.douban.com/subject/1296112/,http://www.imdb.com/title/tt0047029,19533,,
美国,15993,罗密欧与朱丽叶,7.2,1996,巴兹·鲁赫曼,"剧情,爱情,犯罪",120,美国,43564,1306154,https://movie.douban.com/subject/1306154/,http://www.imdb.com/title/tt0117509,15993,,
